fips,state,year,unemployment_rate
01,Alabama,1999,4.7
02,Alaska,1999,6.4
04,Arizona,1999,4.5
05,Arkansas,1999,4.5
06,California,1999,5.3
08,Colorado,1999,3.0
09,Connecticut,1999,2.5
10,Delaware,1999,3.2
11,District of Columbia,1999,6.5
12,Florida,1999,3.9
13,Georgia,1999,3.8
15,Hawaii,1999,5.2
16,Idaho,1999,5.0
17,Illinois,1999,4.4
18,Indiana,1999,2.9
19,Iowa,1999,2.7
20,Kansas,1999,3.5
21,Kentucky,1999,4.5
22,Louisiana,1999,4.9
23,Maine,1999,4.0
24,Maryland,1999,3.4
25,Massachusetts,1999,3.3
26,Michigan,1999,3.8
27,Minnesota,1999,2.7
28,Mississippi,1999,5.1
29,Missouri,1999,3.2
30,Montana,1999,5.3
31,Nebraska,1999,2.8
32,Nevada,1999,4.1
33,New Hampshire,1999,2.7
34,New Jersey,1999,4.4
35,New Mexico,1999,5.6
36,New York,1999,5.2
37,North Carolina,1999,3.3
38,North Dakota,1999,3.1
39,Ohio,1999,4.3
40,Oklahoma,1999,3.5
41,Oregon,1999,5.5
42,Pennsylvania,1999,4.5
44,Rhode Island,1999,4.2
45,South Carolina,1999,4.2
46,South Dakota,1999,2.7
47,Tennessee,1999,4.0
48,Texas,1999,4.7
49,Utah,1999,3.5
50,Vermont,1999,3.1
51,Virginia,1999,2.7
53,Washington,1999,4.8
54,West Virginia,1999,6.5
55,Wisconsin,1999,3.1
56,Wyoming,1999,4.7
01,Alabama,2000,4.7
02,Alaska,2000,6.3
04,Arizona,2000,4.0
05,Arkansas,2000,4.2
06,California,2000,4.9
08,Colorado,2000,2.7
09,Connecticut,2000,2.1
10,Delaware,2000,3.4
11,District of Columbia,2000,5.7
12,Florida,2000,3.7
13,Georgia,2000,3.5
15,Hawaii,2000,4.2
16,Idaho,2000,4.6
17,Illinois,2000,4.5
18,Indiana,2000,3.0
19,Iowa,2000,2.7
20,Kansas,2000,3.7
21,Kentucky,2000,4.2
22,Louisiana,2000,5.1
23,Maine,2000,3.3
24,Maryland,2000,3.6
25,Massachusetts,2000,2.8
26,Michigan,2000,3.6
27,Minnesota,2000,3.1
28,Mississippi,2000,5.3
29,Missouri,2000,3.4
30,Montana,2000,4.8
31,Nebraska,2000,2.8
32,Nevada,2000,4.2
33,New Hampshire,2000,2.7
34,New Jersey,2000,3.7
35,New Mexico,2000,5.0
36,New York,2000,4.5
37,North Carolina,2000,3.8
38,North Dakota,2000,2.9
39,Ohio,2000,4.1
40,Oklahoma,2000,3.0
41,Oregon,2000,5.2
42,Pennsylvania,2000,4.2
44,Rhode Island,2000,4.0
45,South Carolina,2000,3.7
46,South Dakota,2000,2.5
47,Tennessee,2000,3.8
48,Texas,2000,4.4
49,Utah,2000,3.3
50,Vermont,2000,2.8
51,Virginia,2000,2.3
53,Washington,2000,5.1
54,West Virginia,2000,5.6
55,Wisconsin,2000,3.4
56,Wyoming,2000,3.8
01,Alabama,2001,5.1
02,Alaska,2001,6.3
04,Arizona,2001,4.7
05,Arkansas,2001,4.8
06,California,2001,5.5
08,Colorado,2001,3.8
09,Connecticut,2001,2.9
10,Delaware,2001,3.5
11,District of Columbia,2001,6.3
12,Florida,2001,4.7
13,Georgia,2001,4.0
15,Hawaii,2001,4.3
16,Idaho,2001,5.1
17,Illinois,2001,5.4
18,Indiana,2001,4.2
19,Iowa,2001,3.3
20,Kansas,2001,4.3
21,Kentucky,2001,5.2
22,Louisiana,2001,5.6
23,Maine,2001,3.8
24,Maryland,2001,4.1
25,Massachusetts,2001,3.8
26,Michigan,2001,5.2
27,Minnesota,2001,3.7
28,Mississippi,2001,5.5
29,Missouri,2001,4.5
30,Montana,2001,4.6
31,Nebraska,2001,3.2
32,Nevada,2001,5.1
33,New Hampshire,2001,3.4
34,New Jersey,2001,4.2
35,New Mexico,2001,5.0
36,New York,2001,4.9
37,North Carolina,2001,5.5
38,North Dakota,2001,2.8
39,Ohio,2001,4.4
40,Oklahoma,2001,3.6
41,Oregon,2001,6.4
42,Pennsylvania,2001,4.8
44,Rhode Island,2001,4.5
45,South Carolina,2001,5.2
46,South Dakota,2001,3.0
47,Tennessee,2001,4.6
48,Texas,2001,5.0
49,Utah,2001,4.4
50,Vermont,2001,3.2
51,Virginia,2001,3.2
53,Washington,2001,6.1
54,West Virginia,2001,5.3
55,Wisconsin,2001,4.4
56,Wyoming,2001,3.9
01,Alabama,2002,5.9
02,Alaska,2002,7.2
04,Arizona,2002,6.2
05,Arkansas,2002,5.3
06,California,2002,6.7
08,Colorado,2002,5.7
09,Connecticut,2002,4.4
10,Delaware,2002,4.1
11,District of Columbia,2002,6.6
12,Florida,2002,5.6
13,Georgia,2002,5.0
15,Hawaii,2002,4.0
16,Idaho,2002,5.7
17,Illinois,2002,6.5
18,Indiana,2002,5.1
19,Iowa,2002,4.0
20,Kansas,2002,5.1
21,Kentucky,2002,5.8
22,Louisiana,2002,6.0
23,Maine,2002,4.4
24,Maryland,2002,4.5
25,Massachusetts,2002,5.2
26,Michigan,2002,6.2
27,Minnesota,2002,4.4
28,Mississippi,2002,6.4
29,Missouri,2002,5.3
30,Montana,2002,4.6
31,Nebraska,2002,3.7
32,Nevada,2002,5.6
33,New Hampshire,2002,4.5
34,New Jersey,2002,5.8
35,New Mexico,2002,5.5
36,New York,2002,6.2
37,North Carolina,2002,6.5
38,North Dakota,2002,3.4
39,Ohio,2002,5.8
40,Oklahoma,2002,4.6
41,Oregon,2002,7.5
42,Pennsylvania,2002,5.6
44,Rhode Island,2002,5.1
45,South Carolina,2002,6.1
46,South Dakota,2002,3.2
47,Tennessee,2002,5.2
48,Texas,2002,6.4
49,Utah,2002,5.7
50,Vermont,2002,3.9
51,Virginia,2002,4.2
53,Washington,2002,7.2
54,West Virginia,2002,6.1
55,Wisconsin,2002,5.3
56,Wyoming,2002,4.1
01,Alabama,2003,5.9
02,Alaska,2003,7.7
04,Arizona,2003,5.8
05,Arkansas,2003,5.8
06,California,2003,6.9
08,Colorado,2003,6.1
09,Connecticut,2003,5.4
10,Delaware,2003,4.3
11,District of Columbia,2003,6.8
12,Florida,2003,5.3
13,Georgia,2003,4.8
15,Hawaii,2003,3.9
16,Idaho,2003,5.6
17,Illinois,2003,6.7
18,Indiana,2003,5.2
19,Iowa,2003,4.5
20,Kansas,2003,5.6
21,Kentucky,2003,6.2
22,Louisiana,2003,6.2
23,Maine,2003,5.1
24,Maryland,2003,4.5
25,Massachusetts,2003,5.7
26,Michigan,2003,7.1
27,Minnesota,2003,4.8
28,Mississippi,2003,6.1
