year,state,state_code,deaths,population,crude_rate
1999,Alabama,01,2780,1295255,214.62955170989494
2000,Alabama,01,2690,1288527,208.76551286857008
2001,Alabama,01,2696,1266952,212.79417057631227
2002,Alabama,01,2718,1249808,217.4734039148413
2003,Alabama,01,2767,1238460,223.42263779209665
2004,Alabama,01,2754,1231571,223.61682761286193
2005,Alabama,01,2735,1228586,222.61363876847042
2006,Alabama,01,2928,1233767,237.32195787373144
2007,Alabama,01,2732,1232608,221.64386406708377
2008,Alabama,01,2662,1231410,216.1749539146182
2009,Alabama,01,2688,1232200,218.14640480441486
2010,Alabama,01,2630,1228423,214.09563318172974
2011,Alabama,01,2616,1222759,213.94240402237892
2012,Alabama,01,2717,1224424,221.90025677379734
2013,Alabama,01,2662,1228123,216.75353364443137
2014,Alabama,01,2739,1231977,222.32557913012988
2015,Alabama,01,2749,1235222,222.55108798256506
2016,Alabama,01,3003,1233200,243.51281219591306
2017,Alabama,01,2944,1232097,238.9422261396627
2018,Alabama,01,2968,1235842,240.16014992207744
2019,Alabama,01,2952,1240535,237.96184710628884
1999,Alaska,02,366,206897,176.8996167174971
2000,Alaska,02,357,203522,175.41101207731842
2001,Alaska,02,372,198158,187.72898394210682
2002,Alaska,02,400,194428,205.7316847367663
2003,Alaska,02,324,190773,169.8353540595367
2004,Alaska,02,348,189864,183.2890911389205
2005,Alaska,02,345,188753,182.77855186407632
2006,Alaska,02,345,188470,183.0530057834138
2007,Alaska,02,341,188612,180.7944351366827
2008,Alaska,02,347,189673,182.94643939833293
2009,Alaska,02,337,191023,176.4185464577564
2010,Alaska,02,326,196099,166.2425611553348
2011,Alaska,02,347,198832,174.51919208175747
2012,Alaska,02,366,203103,180.20413287839176
2013,Alaska,02,360,205282,175.36851745403882
2014,Alaska,02,351,208376,168.44550236111644
2015,Alaska,02,376,210642,178.5019131986973
2016,Alaska,02,457,212598,214.95968917863763
2017,Alaska,02,438,213427,205.22239454239624
2018,Alaska,02,399,213515,186.8721167131115
2019,Alaska,02,469,213353,219.8234850224745
1999,Arizona,04,2539,1499974,169.26960067307832
2000,Arizona,04,2588,1511469,171.22415345600868
2001,Arizona,04,2681,1526458,175.63535976751407
2002,Arizona,04,2704,1543384,175.19943189770012
2003,Arizona,04,2716,1554533,174.71485005464663
2004,Arizona,04,2604,1580090,164.8007391984001
2005,Arizona,04,2707,1620018,167.09690879977876
2006,Arizona,04,2844,1664223,170.89055973868886
2007,Arizona,04,2714,1682760,161.28265468634862
2008,Arizona,04,2458,1690369,145.41203725340443
2009,Arizona,04,2588,1685082,153.5830303807174
2010,Arizona,04,2443,1679187,145.48707201758947
2011,Arizona,04,2478,1692419,146.41764243960864
2012,Arizona,04,2569,1704005,150.76246841998704
2013,Arizona,04,2705,1711603,158.03898450750555
2014,Arizona,04,2670,1734338,153.94923019619014
2015,Arizona,04,2819,1755258,160.60317058802752
2016,Arizona,04,2930,1778348,164.7596533411908
2017,Arizona,04,3129,1814574,172.43716707061824
2018,Arizona,04,3170,1866276,169.8569772102304
2019,Arizona,04,3439,1903120,180.70326621547775
1999,Arkansas,05,1439,746177,192.84968579840975
2000,Arkansas,05,1516,750972,201.87170760028334
2001,Arkansas,05,1526,743315,205.29654318828491
2002,Arkansas,05,1578,737150,214.06769314250832
2003,Arkansas,05,1509,734963,205.31645810741495
2004,Arkansas,05,1567,736873,212.65536937844107
2005,Arkansas,05,1529,741013,206.33916004172667
2006,Arkansas,05,1625,747504,217.39014105610138
2007,Arkansas,05,1565,747162,209.45926050843056
2008,Arkansas,05,1629,745354,218.55386836322072
2009,Arkansas,05,1581,743283,212.7049858533022
2010,Arkansas,05,1482,742100,199.70354399676594
2011,Arkansas,05,1492,745665,200.08985268183434
2012,Arkansas,05,1501,747881,200.7003788035797
2013,Arkansas,05,1512,748698,201.95058621767387
2014,Arkansas,05,1572,751172,209.2729760960206
2015,Arkansas,05,1585,754732,210.0083208344154
2016,Arkansas,05,1657,757481,218.75136142028646
2017,Arkansas,05,1626,761740,213.45866043531916
2018,Arkansas,05,1603,765106,209.5134530378797
2019,Arkansas,05,1570,767131,204.65865673529032
1999,California,06,13584,10740729,126.47186238475992
2000,California,06,13503,10714403,126.02662042859505
2001,California,06,13760,10750718,127.9914513616672
2002,California,06,13691,10725588,127.64801333036473
2003,California,06,13828,10697022,129.26962289130563
2004,California,06,13260,10675493,124.20972033797409
2005,California,06,13245,10619001,124.72924712974412
2006,California,06,12867,10578738,121.6307654088796
2007,California,06,12348,10519395,117.38317650397195
2008,California,06,11564,10505976,110.07068738782574
2009,California,06,11625,10493897,110.77867450004513
2010,California,06,10659,10500587,101.5086108995621
2011,California,06,10942,10576338,103.45735924854141
2012,California,06,10900,10644074,102.40439891718152
2013,California,06,11110,10740696,103.43836190876272
2014,California,06,11211,10898724,102.86525284978316
2015,California,06,11798,11023370,107.0271613853114
2016,California,06,12233,11077717,110.42889071818679
2017,California,06,12339,11246841,109.71080679454792
2018,California,06,12772,11299470,113.03185016642374
2019,California,06,13474,11335052,118.87020897654462
1999,Colorado,08,1888,1393820,135.45508028296337
2000,Colorado,08,1846,1400850,131.7771353107042
2001,Colorado,08,2043,1412620,144.62488142600276
2002,Colorado,08,1918,1406914,136.32674065365757
2003,Colorado,08,1944,1387655,140.0924581398114
2004,Colorado,08,1841,1381778,133.2341374663658
2005,Colorado,08,1759,1372686,128.14292562173725
2006,Colorado,08,1784,1380451,129.2331274344399
2007,Colorado,08,1778,1391221,127.80140610298436
2008,Colorado,08,1762,1404254,125.47587544703451
2009,Colorado,08,1841,1415641,130.04709527344858
2010,Colorado,08,1689,1425922,118.44967677053864
2011,Colorado,08,1804,1447122,124.66122414005177
2012,Colorado,08,1873,1469016,127.50031313477866
2013,Colorado,08,1796,1494477,120.17582070516977
2014,Colorado,08,1991,1521480,130.85942634802956
2015,Colorado,08,2001,1556878,128.526448443616
2016,Colorado,08,2237,1584485,141.1815195473608
2017,Colorado,08,2274,1630436,139.4718958609844
2018,Colorado,08,2371,1674501,141.5944212634092
2019,Colorado,08,2478,1711425,144.79162101757308
1999,Connecticut,09,1302,1041955,124.95741178841698
2000,Connecticut,09,1420,1032689,137.50509591948784
2001,Connecticut,09,1429,1017477,140.445435130229
2002,Connecticut,09,1390,1006189,138.14502046832158
2003,Connecticut,09,1281,993386,128.95289444385165
2004,Connecticut,09,1260,976914,128.97757632708715
2005,Connecticut,09,1182,959888,123.13936625939694
2006,Connecticut,09,1136,944217,120.3113267395101
2007,Connecticut,09,1055,930413,113.39050507677773
2008,Connecticut,09,1023,923555,110.76763159746847
2009,Connecticut,09,1055,911836,115.70063037651508
2010,Connecticut,09,1040,904815,114.94062322132147
2011,Connecticut,09,981,896740,109.3962575551442
2012,Connecticut,09,1009,892999,112.99004814115133
2013,Connecticut,09,1044,887191,117.67477352678286
2014,Connecticut,09,1010,880758,114.67395130103843
2015,Connecticut,09,1100,872873,126.02062384791373
2016,Connecticut,09,1220,865026,141.03622318866715
2017,Connecticut,09,1326,866929,152.953702090944
2018,Connecticut,09,1312,868726,151.02575495610813
2019,Connecticut,09,1388,875170,158.59775814984516
1999,Delaware,10,407,237879,171.09538883213736
2000,Delaware,10,426,236441,180.17179761547277
2001,Delaware,10,426,233890,182.136901962461
2002,Delaware,10,403,232409,173.40120219096505
2003,Delaware,10,389,231993,167.6774730272034
2004,Delaware,10,387,232563,166.40652210368805
2005,Delaware,10,380,232763,163.25618762432174
2006,Delaware,10,435,232516,187.083899602608
2007,Delaware,10,396,231339,171.17736309052947
2008,Delaware,10,401,230357,174.0776273349627
2009,Delaware,10,366,228638,160.0783771726485
2010,Delaware,10,366,227504,160.87629228497082
2011,Delaware,10,357,227805,156.71297820504378
2012,Delaware,10,388,227779,170.34054939217398
2013,Delaware,10,359,230748,155.5809801168374
2014,Delaware,10,376,234122,160.6000290446861
2015,Delaware,10,410,236537,173.33440434266097
2016,Delaware,10,431,236926,181.9133400302204
2017,Delaware,10,463,239594,193.24357037321468
2018,Delaware,10,526,240531,218.6828309032931
2019,Delaware,10,569,242181,234.94824119150553
1999,District of Columbia,11,564,194834,289.4771959719556
2000,District of Columbia,11,583,189439,307.750779934438
2001,District of Columbia,11,582,190251,305.91166406484064
2002,District of Columbia,11,540,189118,285.53601455176135
2003,District of Columbia,11,522,187244,278.78062848475787
2004,District of Columbia,11,473,186503,253.61522334761372
2005,District of Columbia,11,437,185619,235.42848523049904
2006,District of Columbia,11,465,187870,247.51157715441528
2007,District of Columbia,11,406,190131,213.5369823963478
2008,District of Columbia,11,389,192899,201.65993602869895
2009,District of Columbia,11,343,199093,172.28129567589016
2010,District of Columbia,11,288,205404,140.21148565753344
2011,District of Columbia,11,272,215686,126.10925141177452
2012,District of Columbia,11,261,225234,115.87948533525133
