year,state,state_code,deaths,population,crude_rate
1999,Alabama,01,1350,996193,135.51590906581356
2000,Alabama,01,1364,1015741,134.28620091145282
2001,Alabama,01,1348,1048479,128.56719114069048
2002,Alabama,01,1336,1077429,123.99888995005703
2003,Alabama,01,1260,1105027,114.02436320560494
2004,Alabama,01,1237,1133736,109.1082932887374
2005,Alabama,01,1263,1163718,108.53144834057736
2006,Alabama,01,1281,1196222,107.08714603142226
2007,Alabama,01,1234,1222870,100.91015398202589
2008,Alabama,01,1263,1244494,101.48703007005257
2009,Alabama,01,1350,1265621,106.6670037870737
2010,Alabama,01,1259,1281887,98.21458521694971
2011,Alabama,01,1361,1295372,105.06634387650806
2012,Alabama,01,1242,1288872,96.36333165744931
2013,Alabama,01,1236,1287234,96.01983788495332
2014,Alabama,01,1213,1286061,94.31900975148146
2015,Alabama,01,1238,1287439,96.1598957309822
2016,Alabama,01,1195,1289110,92.69961446269131
2017,Alabama,01,1220,1287177,94.78105963670886
2018,Alabama,01,1216,1282637,94.80468753045484
2019,Alabama,01,1096,1274283,86.00915181321574
1999,Alaska,02,109,135461,80.46596437350972
2000,Alaska,02,121,139702,86.61293324361856
2001,Alaska,02,109,147596,73.85023984389821
2002,Alaska,02,142,155272,91.45241898088516
2003,Alaska,02,110,162136,67.84427887699216
2004,Alaska,02,130,169057,76.89714120089674
2005,Alaska,02,128,175353,72.995614560344
2006,Alaska,02,100,181283,55.162370437382435
2007,Alaska,02,103,185355,55.569043187397156
2008,Alaska,02,107,189130,56.57484270078782
2009,Alaska,02,161,195393,82.39803882431818
2010,Alaska,02,138,196935,70.07388224541093
2011,Alaska,02,175,200496,87.28353682866491
2012,Alaska,02,159,199082,79.866587637255
2013,Alaska,02,136,193302,70.35623014764461
2014,Alaska,02,170,190633,89.17658537608914
2015,Alaska,02,163,188064,86.67262208609836
2016,Alaska,02,166,189489,87.60402978537013
2017,Alaska,02,144,186651,77.14933217609335
2018,Alaska,02,145,182719,79.35682660259742
2019,Alaska,02,129,178469,72.28146064582644
1999,Arizona,04,1214,1032514,117.57709822820803
2000,Arizona,04,1180,1070276,110.25193501489335
2001,Arizona,04,1180,1128753,104.54014297193453
2002,Arizona,04,1268,1179404,107.5119297543505
2003,Arizona,04,1221,1230617,99.21852209095113
2004,Arizona,04,1253,1286040,97.43087306771173
2005,Arizona,04,1360,1353018,100.51603156794663
2006,Arizona,04,1338,1417801,94.37149501234659
2007,Arizona,04,1260,1468199,85.81942911008657
2008,Arizona,04,1322,1507727,87.68165589659135
2009,Arizona,04,1290,1540845,83.72029633090933
2010,Arizona,04,1274,1568774,81.20991296388135
2011,Arizona,04,1372,1598632,85.82337898903563
2012,Arizona,04,1314,1603872,81.9267372957443
2013,Arizona,04,1246,1613067,77.24415662833596
2014,Arizona,04,1204,1633417,73.71050993102189
2015,Arizona,04,1325,1657469,79.9411633038084
2016,Arizona,04,1389,1678039,82.77519175656823
2017,Arizona,04,1302,1694017,76.85873282263401
2018,Arizona,04,1184,1717067,68.95479326083374
2019,Arizona,04,1180,1732884,68.09457528605492
1999,Arkansas,05,841,591060,142.28673907894293
2000,Arkansas,05,924,606302,152.39929935906528
2001,Arkansas,05,964,625960,154.00345069972522
2002,Arkansas,05,1068,642505,166.22438735885322
2003,Arkansas,05,977,657421,148.61101181738945
2004,Arkansas,05,1018,673738,151.0973108240889
2005,Arkansas,05,1031,691183,149.16454831788397
2006,Arkansas,05,1078,709982,151.83483524934437
2007,Arkansas,05,1043,724609,143.93969713321252
2008,Arkansas,05,1110,737074,150.59546259941337
2009,Arkansas,05,1100,749138,146.8354295203287
2010,Arkansas,05,1096,758257,144.54202203210784
2011,Arkansas,05,1139,767111,148.47916403232387
2012,Arkansas,05,1124,761087,147.6835105579257
2013,Arkansas,05,1034,758066,136.39973300477794
2014,Arkansas,05,1131,755423,149.71744307493947
2015,Arkansas,05,1129,756882,149.16459897315565
2016,Arkansas,05,1133,757242,149.6219174319438
2017,Arkansas,05,1236,756507,163.38249348651104
2018,Arkansas,05,1115,753134,148.04802332652622
2019,Arkansas,05,1217,747576,162.7928130384068
1999,California,06,6990,6732357,103.82693609385241
2000,California,06,6718,6945728,96.7213228044634
2001,California,06,6583,7262695,90.64128398617869
2002,California,06,6882,7531818,91.37236189190976
2003,California,06,7123,7797979,91.34418033185264
2004,California,06,6764,8035211,84.17949447749412
2005,California,06,7015,8279719,84.72509755463923
2006,California,06,7041,8498120,82.85361938875893
2007,California,06,6833,8705909,78.48692192854303
2008,California,06,6741,8907401,75.67864071686006
2009,California,06,6605,9125993,72.3756855829278
2010,California,06,6482,9288864,69.78248362770734
2011,California,06,6598,9470194,69.67122320831021
2012,California,06,6673,9535809,69.97833115155726
