year,state,state_code,deaths,population,crude_rate
1999,Alabama,01,1088,814010,133.65929165489368
2000,Alabama,01,1060,823388,128.73639159181334
2001,Alabama,01,1076,835886,128.72568747412924
2002,Alabama,01,1077,844282,127.56401297196909
2003,Alabama,01,1032,853073,120.97440664515229
2004,Alabama,01,983,863567,113.83019499355579
2005,Alabama,01,965,875739,110.19264872296425
2006,Alabama,01,1022,891627,114.62192149856386
2007,Alabama,01,979,903032,108.41254794957433
2008,Alabama,01,984,910442,108.07937243668461
2009,Alabama,01,1051,918866,114.38011636081865
2010,Alabama,01,962,922849,104.24240585404546
2011,Alabama,01,1054,921932,114.32513460862624
2012,Alabama,01,966,917419,105.29539937585771
2013,Alabama,01,961,916368,104.87053236254431
2014,Alabama,01,935,914147,102.28114296715954
2015,Alabama,01,964,912661,105.62519927990786
2016,Alabama,01,890,910176,97.78328586998559
2017,Alabama,01,957,906008,105.62820637345365
2018,Alabama,01,940,902848,104.1149783795279
2019,Alabama,01,833,898162,92.74496137667815
1999,Alaska,02,93,132068,70.41826937638187
2000,Alaska,02,,132521,
2001,Alaska,02,103,135057,76.26409590024953
2002,Alaska,02,133,137281,96.88157865982912
2003,Alaska,02,,138780,
2004,Alaska,02,115,141430,81.3123099766669
2005,Alaska,02,109,143974,75.70811396502147
2006,Alaska,02,88,145861,60.331411412234935
2007,Alaska,02,102,146796,69.48418213030328
2008,Alaska,02,,147902,
2009,Alaska,02,140,150094,93.27488107452663
2010,Alaska,02,120,151688,79.10975159537999
2011,Alaska,02,,152558,
2012,Alaska,02,,151677,
2013,Alaska,02,,147773,
2014,Alaska,02,,146035,
2015,Alaska,02,137,144763,94.63744188777518
2016,Alaska,02,145,146757,98.80278283148334
2017,Alaska,02,111,145638,76.216372100688
2018,Alaska,02,,144047,
2019,Alaska,02,,142533,
1999,Arizona,04,983,884278,111.16413616532358
2000,Arizona,04,946,906856,104.31645156452622
2001,Arizona,04,956,940021,101.6998556415229
2002,Arizona,04,1040,966803,107.57103567117603
2003,Arizona,04,989,991411,99.75681125184207
2004,Arizona,04,1030,1022621,100.72157720211105
2005,Arizona,04,1100,1063829,103.40007651605661
2006,Arizona,04,1104,1104842,99.92379000798304
2007,Arizona,04,1001,1132467,88.39109660590552
2008,Arizona,04,1087,1152091,94.35018587941404
2009,Arizona,04,1060,1164813,91.00173160842127
2010,Arizona,04,1029,1176652,87.45151497639064
2011,Arizona,04,1108,1190768,93.04919178211037
2012,Arizona,04,1040,1195801,86.97099266516753
2013,Arizona,04,1018,1202108,84.6845707706795
2014,Arizona,04,943,1214219,77.66309043096838
2015,Arizona,04,1058,1228245,86.1391660458622
2016,Arizona,04,1083,1240487,87.30442156991569
2017,Arizona,04,1070,1256695,85.1439689025579
2018,Arizona,04,949,1280041,74.13825025917139
2019,Arizona,04,956,1297170,73.69889837106932
1999,Arkansas,05,694,481462,144.1442938383507
2000,Arkansas,05,745,491234,151.65888354633435
2001,Arkansas,05,787,499674,157.50269175502427
2002,Arkansas,05,839,505354,166.02223391919327
2003,Arkansas,05,808,510726,158.20616142510858
2004,Arkansas,05,804,518079,155.18868743956037
