year,state,state_code,ten_year_age,sex_code,deaths,population,crude_rate
1999,Alabama,01,55-64 years,M,603,194056,310.7
1999,Alaska,02,55-64 years,M,46,23173,198.5
1999,Arizona,04,55-64 years,M,589,203442,289.5
1999,Arkansas,05,55-64 years,M,388,119881,323.7
1999,California,06,55-64 years,M,3222,1223139,263.4
1999,Colorado,08,55-64 years,M,364,161800,225.0
1999,Connecticut,09,55-64 years,M,363,145109,250.2
1999,Delaware,10,55-64 years,M,83,33230,249.8
1999,District of Columbia,11,55-64 years,M,53,22242,238.3
1999,Florida,12,55-64 years,M,2167,708839,305.7
1999,Georgia,13,55-64 years,M,966,308354,313.3
1999,Hawaii,15,55-64 years,M,129,50424,255.8
1999,Idaho,16,55-64 years,M,126,52239,241.2
1999,Illinois,17,55-64 years,M,1604,491627,326.3
1999,Indiana,18,55-64 years,M,782,252551,309.6
1999,Iowa,19,55-64 years,M,335,124230,269.7
1999,Kansas,20,55-64 years,M,266,105733,251.6
1999,Kentucky,21,55-64 years,M,641,175819,364.6
1999,Louisiana,22,55-64 years,M,638,176452,361.6
1999,Maine,23,55-64 years,M,137,58545,234.0
1999,Maryland,24,55-64 years,M,664,219754,302.2
1999,Massachusetts,25,55-64 years,M,596,254634,234.1
1999,Michigan,26,55-64 years,M,1432,411898,347.7
1999,Minnesota,27,55-64 years,M,372,194395,191.4
1999,Mississippi,28,55-64 years,M,483,114647,421.3
1999,Missouri,29,55-64 years,M,808,239259,337.7
1999,Montana,30,55-64 years,M,88,41804,210.5
1999,Nebraska,31,55-64 years,M,147,68387,215.0
1999,Nevada,32,55-64 years,M,297,91487,324.6
1999,New Hampshire,33,55-64 years,M,145,52450,276.5
1999,New Jersey,34,55-64 years,M,891,352541,252.7
1999,New Mexico,35,55-64 years,M,196,74425,263.4
1999,New York,36,55-64 years,M,2477,775941,319.2
1999,North Carolina,37,55-64 years,M,1118,337298,331.5
1999,North Dakota,38,55-64 years,M,82,26261,312.3
1999,Ohio,39,55-64 years,M,1548,477384,324.3
1999,Oklahoma,40,55-64 years,M,620,149688,414.2
1999,Oregon,41,55-64 years,M,357,145281,245.7
1999,Pennsylvania,42,55-64 years,M,1633,532986,306.4
1999,Rhode Island,44,55-64 years,M,120,41269,290.8
1999,South Carolina,45,55-64 years,M,649,172669,375.9
1999,South Dakota,46,55-64 years,M,81,30162,268.5
1999,Tennessee,47,55-64 years,M,962,250764,383.6
1999,Texas,48,55-64 years,M,2380,750046,317.3
1999,Utah,49,55-64 years,M,105,68062,154.3
1999,Vermont,50,55-64 years,M,67,27251,245.9
1999,Virginia,51,55-64 years,M,787,297502,264.5
1999,Washington,53,55-64 years,M,568,239401,237.3
1999,West Virginia,54,55-64 years,M,322,88635,363.3
