state,state_abbr,year,cigarette_tax_per_pack
Alabama,AL,1999,0.165
Alabama,AL,2000,0.165
Alabama,AL,2001,0.165
Alabama,AL,2002,0.165
Alabama,AL,2003,0.165
Alabama,AL,2004,0.425
Alabama,AL,2005,0.425
Alabama,AL,2006,0.425
Alabama,AL,2007,0.425
Alabama,AL,2008,0.425
Alabama,AL,2009,0.425
Alabama,AL,2010,0.425
Alabama,AL,2011,0.425
Alabama,AL,2012,0.425
Alabama,AL,2013,0.425
Alabama,AL,2014,0.425
Alabama,AL,2015,0.425
Alabama,AL,2016,0.675
Alabama,AL,2017,0.675
Alabama,AL,2018,0.675
Alabama,AL,2019,0.675
Alaska,AK,1999,1.0
Alaska,AK,2000,1.0
Alaska,AK,2001,1.0
Alaska,AK,2002,1.0
Alaska,AK,2003,1.0
Alaska,AK,2004,1.0
Alaska,AK,2005,1.6
Alaska,AK,2006,1.6
Alaska,AK,2007,1.8
Alaska,AK,2008,2.0
Alaska,AK,2009,2.0
Alaska,AK,2010,2.0
Alaska,AK,2011,2.0
Alaska,AK,2012,2.0
Alaska,AK,2013,2.0
Alaska,AK,2014,2.0
Alaska,AK,2015,2.0
Alaska,AK,2016,2.0
Alaska,AK,2017,2.0
Alaska,AK,2018,2.0
Alaska,AK,2019,2.0
Arizona,AZ,1999,0.58
Arizona,AZ,2000,0.58
Arizona,AZ,2001,0.58
Arizona,AZ,2002,0.58
Arizona,AZ,2003,1.18
Arizona,AZ,2004,1.18
Arizona,AZ,2005,1.18
Arizona,AZ,2006,1.18
Arizona,AZ,2007,2.0
Arizona,AZ,2008,2.0
Arizona,AZ,2009,2.0
Arizona,AZ,2010,2.0
Arizona,AZ,2011,2.0
Arizona,AZ,2012,2.0
Arizona,AZ,2013,2.0
Arizona,AZ,2014,2.0
Arizona,AZ,2015,2.0
Arizona,AZ,2016,2.0
Arizona,AZ,2017,2.0
Arizona,AZ,2018,2.0
Arizona,AZ,2019,2.0
Arkansas,AR,1999,0.315
Arkansas,AR,2000,0.315
Arkansas,AR,2001,0.315
Arkansas,AR,2002,0.34
Arkansas,AR,2003,0.59
Arkansas,AR,2004,0.59
Arkansas,AR,2005,0.59
Arkansas,AR,2006,0.59
Arkansas,AR,2007,0.59
Arkansas,AR,2008,0.59
Arkansas,AR,2009,1.15
Arkansas,AR,2010,1.15
Arkansas,AR,2011,1.15
Arkansas,AR,2012,1.15
Arkansas,AR,2013,1.15
Arkansas,AR,2014,1.15
Arkansas,AR,2015,1.15
Arkansas,AR,2016,1.15
Arkansas,AR,2017,1.15
Arkansas,AR,2018,1.15
Arkansas,AR,2019,1.15
California,CA,1999,0.87
California,CA,2000,0.87
California,CA,2001,0.87
California,CA,2002,0.87
California,CA,2003,0.87
California,CA,2004,0.87
California,CA,2005,0.87
California,CA,2006,0.87
California,CA,2007,0.87
California,CA,2008,0.87
California,CA,2009,0.87
California,CA,2010,0.87
California,CA,2011,0.87
California,CA,2012,0.87
California,CA,2013,0.87
California,CA,2014,0.87
California,CA,2015,0.87
California,CA,2016,0.87
California,CA,2017,2.87
California,CA,2018,2.87
California,CA,2019,2.87
Colorado,CO,1999,0.2
Colorado,CO,2000,0.2
Colorado,CO,2001,0.2
Colorado,CO,2002,0.2
Colorado,CO,2003,0.2
Colorado,CO,2004,0.2
Colorado,CO,2005,0.84
Colorado,CO,2006,0.84
Colorado,CO,2007,0.84
Colorado,CO,2008,0.84
Colorado,CO,2009,0.84
Colorado,CO,2010,0.84
Colorado,CO,2011,0.84
Colorado,CO,2012,0.84
Colorado,CO,2013,0.84
Colorado,CO,2014,0.84
Colorado,CO,2015,0.84
Colorado,CO,2016,0.84
Colorado,CO,2017,0.84
Colorado,CO,2018,0.84
Colorado,CO,2019,0.84
Connecticut,CT,1999,0.5
Connecticut,CT,2000,0.5
Connecticut,CT,2001,0.5
Connecticut,CT,2002,1.11
Connecticut,CT,2003,1.51
Connecticut,CT,2004,1.51
Connecticut,CT,2005,1.51
Connecticut,CT,2006,1.51
Connecticut,CT,2007,1.51
Connecticut,CT,2008,2.0
Connecticut,CT,2009,2.0
Connecticut,CT,2010,3.0
Connecticut,CT,2011,3.0
Connecticut,CT,2012,3.4
Connecticut,CT,2013,3.4
Connecticut,CT,2014,3.4
Connecticut,CT,2015,3.4
Connecticut,CT,2016,3.65
Connecticut,CT,2017,3.9
Connecticut,CT,2018,4.35
Connecticut,CT,2019,4.35
Delaware,DE,1999,0.24
Delaware,DE,2000,0.24
Delaware,DE,2001,0.24
Delaware,DE,2002,0.24
Delaware,DE,2003,0.24
Delaware,DE,2004,0.55
Delaware,DE,2005,0.55
Delaware,DE,2006,0.55
Delaware,DE,2007,0.55
Delaware,DE,2008,1.15
Delaware,DE,2009,1.15
Delaware,DE,2010,1.6
Delaware,DE,2011,1.6
Delaware,DE,2012,1.6
Delaware,DE,2013,1.6
Delaware,DE,2014,1.6
Delaware,DE,2015,1.6
Delaware,DE,2016,1.6
Delaware,DE,2017,1.6
Delaware,DE,2018,2.1
Delaware,DE,2019,2.1
District of Columbia,DC,1999,0.65
District of Columbia,DC,2000,0.65
District of Columbia,DC,2001,0.65
District of Columbia,DC,2002,0.65
District of Columbia,DC,2003,1.0
District of Columbia,DC,2004,1.0
District of Columbia,DC,2005,1.0
District of Columbia,DC,2006,1.0
District of Columbia,DC,2007,1.0
District of Columbia,DC,2008,1.0
District of Columbia,DC,2009,2.0
District of Columbia,DC,2010,2.5
District of Columbia,DC,2011,2.5
District of Columbia,DC,2012,2.86
District of Columbia,DC,2013,2.86
District of Columbia,DC,2014,2.86
District of Columbia,DC,2015,2.9
District of Columbia,DC,2016,2.91
District of Columbia,DC,2017,2.92
District of Columbia,DC,2018,2.94
District of Columbia,DC,2019,4.94
Florida,FL,1999,0.339
Florida,FL,2000,0.339
Florida,FL,2001,0.339
Florida,FL,2002,0.339
Florida,FL,2003,0.339
Florida,FL,2004,0.339
Florida,FL,2005,0.339
Florida,FL,2006,0.339
Florida,FL,2007,0.339
Florida,FL,2008,0.339
Florida,FL,2009,0.339
Florida,FL,2010,1.339
Florida,FL,2011,1.339
Florida,FL,2012,1.339
Florida,FL,2013,1.339
Florida,FL,2014,1.339
Florida,FL,2015,1.339
Florida,FL,2016,1.339
Florida,FL,2017,1.339
Florida,FL,2018,1.339
Florida,FL,2019,1.339
Georgia,GA,1999,0.12
Georgia,GA,2000,0.12
Georgia,GA,2001,0.12
Georgia,GA,2002,0.12
Georgia,GA,2003,0.12
Georgia,GA,2004,0.37
Georgia,GA,2005,0.37
Georgia,GA,2006,0.37
Georgia,GA,2007,0.37
Georgia,GA,2008,0.37
Georgia,GA,2009,0.37
Georgia,GA,2010,0.37
Georgia,GA,2011,0.37
Georgia,GA,2012,0.37
Georgia,GA,2013,0.37
Georgia,GA,2014,0.37
Georgia,GA,2015,0.37
Georgia,GA,2016,0.37
Georgia,GA,2017,0.37
Georgia,GA,2018,0.37
Georgia,GA,2019,0.37
Hawaii,HI,1999,1.0
Hawaii,HI,2000,1.0
Hawaii,HI,2001,1.0
Hawaii,HI,2002,1.0
Hawaii,HI,2003,1.3
Hawaii,HI,2004,1.4
Hawaii,HI,2005,1.4
Hawaii,HI,2006,1.4
Hawaii,HI,2007,1.6
Hawaii,HI,2008,1.8
Hawaii,HI,2009,2.0
Hawaii,HI,2010,2.6
Hawaii,HI,2011,3.0
Hawaii,HI,2012,3.2
Hawaii,HI,2013,3.2
Hawaii,HI,2014,3.2
Hawaii,HI,2015,3.2
Hawaii,HI,2016,3.2
Hawaii,HI,2017,3.2
