state,expansion_year
Alabama,3000
Alaska,2015
Arizona,2014
Arkansas,2014
California,2014
Colorado,2014
Connecticut,2014
Delaware,2014
District of Columbia,2014
Florida,3000
Georgia,3000
Hawaii,2014
Idaho,2020
Illinois,2014
Indiana,2015
Iowa,2014
Kansas,3000
Kentucky,2014
Louisiana,2016
Maine,2019
Maryland,2014
Massachusetts,2014
Michigan,2014
Minnesota,2014
Mississippi,3000
Missouri,2021
Montana,2016
Nebraska,2020
Nevada,2014
New Hampshire,2014
New Jersey,2014
New Mexico,2014
New York,2014
North Carolina,2023
North Dakota,2014
Ohio,2014
Oklahoma,2021
Oregon,2014
Pennsylvania,2015
Rhode Island,2014
South Carolina,3000
South Dakota,2023
Tennessee,3000
Texas,3000
Utah,2020
Vermont,2014
Virginia,2019
Washington,2014
West Virginia,2014
Wisconsin,3000
Wyoming,3000
