year,state,state_fips,poverty_rate
1999,Alabama,1,15.3
1999,Alaska,2,8.8
1999,Arizona,4,12.8
1999,Arkansas,5,15.1
1999,California,6,13.7
1999,Colorado,8,8.9
1999,Connecticut,9,7.5
1999,Delaware,10,9.4
1999,District of Columbia,11,17.3
1999,Florida,12,12.4
1999,Georgia,13,12.7
1999,Hawaii,15,10.5
1999,Idaho,16,12.1
1999,Illinois,17,10.1
1999,Indiana,18,8.7
1999,Iowa,19,8.5
1999,Kansas,20,10.2
1999,Kentucky,21,14.3
1999,Louisiana,22,18.3
1999,Maine,23,10.6
1999,Maryland,24,8.0
1999,Massachusetts,25,9.7
1999,Michigan,26,9.9
1999,Minnesota,27,7.5
1999,Mississippi,28,18.2
1999,Missouri,29,11.4
1999,Montana,30,14.3
1999,Nebraska,31,9.7
1999,Nevada,32,10.2
1999,New Hampshire,33,6.8
1999,New Jersey,34,8.1
1999,New Mexico,35,18.2
1999,New York,36,13.7
1999,North Carolina,37,12.3
1999,North Dakota,38,11.6
1999,Ohio,39,11.0
1999,Oklahoma,40,13.9
1999,Oregon,41,11.3
1999,Pennsylvania,42,10.0
1999,Rhode Island,44,10.8
1999,South Carolina,45,13.2
1999,South Dakota,46,11.7
1999,Tennessee,47,12.8
1999,Texas,48,15.1
1999,Utah,49,8.5
1999,Vermont,50,9.3
1999,Virginia,51,9.0
1999,Washington,53,9.9
1999,West Virginia,54,16.3
1999,Wisconsin,55,8.4
1999,Wyoming,56,11.2
2000,Alabama,1,14.6
2000,Alaska,2,8.5
2000,Arizona,4,12.5
2000,Arkansas,5,15.0
2000,California,6,12.7
2000,Colorado,8,8.9
2000,Connecticut,9,7.3
2000,Delaware,10,8.7
2000,District of Columbia,11,16.3
2000,Florida,12,11.7
2000,Georgia,13,12.3
2000,Hawaii,15,9.9
2000,Idaho,16,11.2
2000,Illinois,17,10.0
2000,Indiana,18,8.8
2000,Iowa,19,8.3
2000,Kansas,20,8.9
2000,Kentucky,21,13.9
2000,Louisiana,22,17.3
2000,Maine,23,9.9
2000,Maryland,24,7.9
2000,Massachusetts,25,8.4
2000,Michigan,26,9.7
2000,Minnesota,27,6.9
2000,Mississippi,28,17.6
2000,Missouri,29,10.6
2000,Montana,30,13.3
2000,Nebraska,31,8.9
2000,Nevada,32,9.4
2000,New Hampshire,33,5.6
2000,New Jersey,34,7.8
2000,New Mexico,35,17.3
2000,New York,36,13.2
2000,North Carolina,37,11.7
2000,North Dakota,38,10.4
2000,Ohio,39,9.8
2000,Oklahoma,40,13.8
2000,Oregon,41,10.6
2000,Pennsylvania,42,9.5
2000,Rhode Island,44,10.2
2000,South Carolina,45,12.8
2000,South Dakota,46,11.4
2000,Tennessee,47,12.6
2000,Texas,48,14.6
2000,Utah,49,8.8
2000,Vermont,50,8.8
2000,Virginia,51,8.9
2000,Washington,53,9.6
2000,West Virginia,54,15.5
2000,Wisconsin,55,8.1
2000,Wyoming,56,10.4
2001,Alabama,1,15.7
2001,Alaska,2,8.7
2001,Arizona,4,13.2
2001,Arkansas,5,15.9
2001,California,6,12.9
2001,Colorado,8,8.7
2001,Connecticut,9,7.1
2001,Delaware,10,8.4
2001,District of Columbia,11,17.5
2001,Florida,12,12.6
2001,Georgia,13,12.7
2001,Hawaii,15,10.4
2001,Idaho,16,11.5
2001,Illinois,17,10.1
2001,Indiana,18,9.0
2001,Iowa,19,8.2
2001,Kansas,20,9.5
2001,Kentucky,21,14.7
2001,Louisiana,22,18.3
2001,Maine,23,10.2
2001,Maryland,24,7.7
2001,Massachusetts,25,8.2
2001,Michigan,26,9.8
2001,Minnesota,27,7.2
2001,Mississippi,28,19.0
2001,Missouri,29,11.0
2001,Montana,30,14.0
2001,Nebraska,31,9.3
2001,Nevada,32,9.3
2001,New Hampshire,33,6.0
2001,New Jersey,34,7.8
2001,New Mexico,35,18.0
2001,New York,36,13.7
2001,North Carolina,37,11.9
2001,North Dakota,38,11.4
2001,Ohio,39,10.3
2001,Oklahoma,40,14.4
2001,Oregon,41,11.1
2001,Pennsylvania,42,10.0
2001,Rhode Island,44,10.2
2001,South Carolina,45,13.8
2001,South Dakota,46,11.7
2001,Tennessee,47,13.2
2001,Texas,48,15.0
2001,Utah,49,9.4
2001,Vermont,50,8.9
2001,Virginia,51,8.8
2001,Washington,53,9.9
2001,West Virginia,54,16.7
2001,Wisconsin,55,8.1
2001,Wyoming,56,10.5
2002,Alabama,1,15.4
2002,Alaska,2,9.3
2002,Arizona,4,13.6
2002,Arkansas,5,16.3
2002,California,6,13.3
2002,Colorado,8,9.5
2002,Connecticut,9,7.8
2002,Delaware,10,9.3
2002,District of Columbia,11,17.2
2002,Florida,12,12.8
2002,Georgia,13,13.0
2002,Hawaii,15,11.0
2002,Idaho,16,11.7
2002,Illinois,17,11.3
2002,Indiana,18,9.6
2002,Iowa,19,9.1
2002,Kansas,20,10.0
2002,Kentucky,21,14.8
2002,Louisiana,22,18.1
2002,Maine,23,11.0
2002,Maryland,24,8.3
2002,Massachusetts,25,9.0
2002,Michigan,26,10.9
2002,Minnesota,27,7.5
2002,Mississippi,28,18.9
2002,Missouri,29,11.3
2002,Montana,30,14.0
2002,Nebraska,31,10.0
2002,Nevada,32,10.1
2002,New Hampshire,33,6.3
2002,New Jersey,34,8.3
2002,New Mexico,35,17.7
2002,New York,36,13.9
2002,North Carolina,37,12.9
2002,North Dakota,38,11.1
2002,Ohio,39,10.2
2002,Oklahoma,40,14.5
2002,Oregon,41,11.3
2002,Pennsylvania,42,10.0
2002,Rhode Island,44,11.0
2002,South Carolina,45,14.0
2002,South Dakota,46,12.4
2002,Tennessee,47,13.6
2002,Texas,48,15.4
2002,Utah,49,9.7
2002,Vermont,50,9.3
2002,Virginia,51,9.6
2002,Washington,53,10.3
2002,West Virginia,54,16.1
2002,Wisconsin,55,8.5
2002,Wyoming,56,10.6
2003,Alabama,1,15.3
2003,Alaska,2,9.8
2003,Arizona,4,13.9
2003,Arkansas,5,16.0
2003,California,6,13.7
2003,Colorado,8,10.0
2003,Connecticut,9,8.0
2003,Delaware,10,9.0
2003,District of Columbia,11,17.5
2003,Florida,12,13.0
2003,Georgia,13,13.4
2003,Hawaii,15,10.8
2003,Idaho,16,11.7
2003,Illinois,17,11.4
2003,Indiana,18,10.0
2003,Iowa,19,9.1
2003,Kansas,20,10.4
2003,Kentucky,21,15.0
2003,Louisiana,22,18.1
2003,Maine,23,10.7
2003,Maryland,24,8.8
2003,Massachusetts,25,9.5
2003,Michigan,26,11.0
2003,Minnesota,27,8.0
2003,Mississippi,28,18.3
2003,Missouri,29,11.6
2003,Montana,30,14.2
2003,Nebraska,31,9.9
2003,Nevada,32,11.0
2003,New Hampshire,33,6.4
2003,New Jersey,34,8.9
2003,New Mexico,35,17.7
2003,New York,36,14.3
2003,North Carolina,37,13.4
