year,state,state_code,deaths,population,crude_rate,unemployment_rate,expansion_year,treat_post
1999,Alabama,01,603,194056,310.7,4.7,3000,0
2000,Alabama,01,592,196694,301.0,4.7,3000,0
2001,Alabama,01,571,201485,283.4,5.1,3000,0
2002,Alabama,01,577,212993,270.9,5.9,3000,0
2003,Alabama,01,540,222255,243.0,5.9,3000,0
2004,Alabama,01,521,232067,224.5,5.6,3000,0
2005,Alabama,01,557,241277,230.9,4.5,3000,0
2006,Alabama,01,566,250793,225.7,4.0,3000,0
2007,Alabama,01,582,259292,224.5,4.1,3000,0
2008,Alabama,01,551,266305,206.9,5.9,3000,0
2009,Alabama,01,612,273893,223.4,9.7,3000,0
2010,Alabama,01,561,281236,199.5,10.4,3000,0
2011,Alabama,01,646,291585,221.5,9.6,3000,0
2012,Alabama,01,553,293865,188.2,8.2,3000,0
2013,Alabama,01,592,296949,199.4,7.4,3000,0
2014,Alabama,01,583,299971,194.4,6.8,3000,0
2015,Alabama,01,599,303874,197.1,6.1,3000,0
2016,Alabama,01,566,307099,184.3,5.8,3000,0
2017,Alabama,01,635,309412,205.2,4.5,3000,0
2018,Alabama,01,632,311555,202.9,3.9,3000,0
2019,Alabama,01,538,312875,172.0,3.2,3000,0
1999,Alaska,02,46,23173,198.5,6.4,2015,0
2000,Alaska,02,51,23906,213.3,6.3,2015,0
2001,Alaska,02,46,25443,180.8,6.3,2015,0
2002,Alaska,02,70,28058,249.5,7.2,2015,0
2003,Alaska,02,47,30106,156.1,7.7,2015,0
2004,Alaska,02,52,32618,159.4,7.4,2015,0
2005,Alaska,02,66,35104,188.0,6.9,2015,0
2006,Alaska,02,41,37404,109.6,6.6,2015,0
2007,Alaska,02,59,39361,149.9,6.2,2015,0
2008,Alaska,02,50,41619,120.1,6.5,2015,0
2009,Alaska,02,83,44312,187.3,7.8,2015,0
2010,Alaska,02,75,45625,164.4,8.0,2015,0
2011,Alaska,02,100,47991,208.4,7.6,2015,0
2012,Alaska,02,70,48658,143.9,7.1,2015,0
2013,Alaska,02,68,48508,140.2,6.9,2015,0
2014,Alaska,02,85,48411,175.6,6.7,2015,0
2015,Alaska,02,91,48464,187.8,6.3,2015,1
2016,Alaska,02,100,49222,203.2,6.6,2015,1
2017,Alaska,02,74,49121,150.6,6.6,2015,1
2018,Alaska,02,89,48627,183.0,6.1,2015,1
2019,Alaska,02,78,48070,162.3,5.6,2015,1
1999,Arizona,04,589,203442,289.5,4.5,2014,0
2000,Arizona,04,545,210410,259.0,4.0,2014,0
2001,Arizona,04,596,221049,269.6,4.7,2014,0
2002,Arizona,04,632,236953,266.7,6.2,2014,0
2003,Arizona,04,598,251298,238.0,5.8,2014,0
2004,Arizona,04,643,266773,241.0,5.0,2014,0
2005,Arizona,04,688,284720,241.6,4.6,2014,0
2006,Arizona,04,684,301884,226.6,4.3,2014,0
2007,Arizona,04,630,314829,200.1,3.7,2014,0
2008,Arizona,04,703,325075,216.3,5.8,2014,0
2009,Arizona,04,670,335251,199.9,9.7,2014,0
2010,Arizona,04,700,345619,202.5,10.4,2014,0
2011,Arizona,04,721,359537,200.5,9.5,2014,0
2012,Arizona,04,703,363552,193.4,8.4,2014,0
2013,Arizona,04,684,369020,185.4,7.8,2014,0
2014,Arizona,04,648,376811,172.0,6.8,2014,1
2015,Arizona,04,726,386424,187.9,6.1,2014,1
2016,Arizona,04,748,394819,189.5,5.5,2014,1
2017,Arizona,04,760,402826,188.7,5.0,2014,1
2018,Arizona,04,669,413184,161.9,4.8,2014,1
2019,Arizona,04,653,420745,155.2,4.8,2014,1
1999,Arkansas,05,388,119881,323.7,4.5,2014,0
2000,Arkansas,05,434,122870,353.2,4.2,2014,0
2001,Arkansas,05,458,125992,363.5,4.8,2014,0
2002,Arkansas,05,457,132792,344.1,5.3,2014,0
2003,Arkansas,05,437,137956,316.8,5.8,2014,0
2004,Arkansas,05,448,143634,311.9,5.6,2014,0
2005,Arkansas,05,444,148637,298.7,5.3,2014,0
2006,Arkansas,05,503,153834,327.0,5.2,2014,0
2007,Arkansas,05,452,158511,285.2,5.4,2014,0
2008,Arkansas,05,482,162061,297.4,5.4,2014,0
2009,Arkansas,05,486,165860,293.0,7.7,2014,0
2010,Arkansas,05,463,169291,273.5,7.8,2014,0
2011,Arkansas,05,525,175066,299.9,7.9,2014,0
2012,Arkansas,05,514,174995,293.7,7.2,2014,0
2013,Arkansas,05,508,176280,288.2,7.0,2014,0
2014,Arkansas,05,539,177597,303.5,5.9,2014,1
2015,Arkansas,05,536,180052,297.7,5.0,2014,1
2016,Arkansas,05,534,181966,293.5,4.0,2014,1
2017,Arkansas,05,626,183689,340.8,3.7,2014,1
2018,Arkansas,05,562,185005,303.8,3.6,2014,1
2019,Arkansas,05,604,185818,325.0,3.5,2014,1
1999,California,06,3222,1223139,263.4,5.3,2014,0
2000,California,06,3272,1257308,260.2,4.9,2014,0
2001,California,06,3132,1313640,238.4,5.5,2014,0
2002,California,06,3267,1402754,232.9,6.7,2014,0
2003,California,06,3358,1476641,227.4,6.9,2014,0
2004,California,06,3237,1544835,209.5,6.2,2014,0
2005,California,06,3394,1616930,209.9,5.4,2014,0
2006,California,06,3386,1682305,201.3,4.9,2014,0
2007,California,06,3378,1745333,193.5,5.3,2014,0
2008,California,06,3388,1809088,187.3,7.3,2014,0
2009,California,06,3328,1884209,176.6,11.5,2014,0
2010,California,06,3306,1949147,169.6,12.3,2014,0
2011,California,06,3375,2037687,165.6,11.7,2014,0
2012,California,06,3456,2078087,166.3,10.4,2014,0
2013,California,06,3522,2128335,165.5,9.0,2014,0
2014,California,06,3354,2186133,153.4,7.6,2014,1
2015,California,06,3451,2243148,153.8,6.2,2014,1
2016,California,06,3562,2273600,156.7,5.5,2014,1
2017,California,06,3536,2311806,153.0,4.8,2014,1
2018,California,06,3589,2324453,154.4,4.3,2014,1
2019,California,06,3582,2331519,153.6,4.1,2014,1
1999,Colorado,08,364,161800,225.0,3.0,2014,0
2000,Colorado,08,316,167084,189.1,2.7,2014,0
2001,Colorado,08,306,176624,173.2,3.8,2014,0
2002,Colorado,08,381,191359,199.1,5.7,2014,0
2003,Colorado,08,345,204480,168.7,6.1,2014,0
2004,Colorado,08,348,216641,160.6,5.6,2014,0
2005,Colorado,08,346,230162,150.3,5.1,2014,0
2006,Colorado,08,371,244418,151.8,4.2,2014,0
2007,Colorado,08,358,258484,138.5,3.7,2014,0
2008,Colorado,08,368,270978,135.8,4.8,2014,0
2009,Colorado,08,364,284297,128.0,8.0,2014,0
2010,Colorado,08,384,294155,130.5,9.2,2014,0
2011,Colorado,08,431,308910,139.5,8.7,2014,0
2012,Colorado,08,408,315006,129.5,8.0,2014,0
2013,Colorado,08,390,321261,121.4,6.7,2014,0
2014,Colorado,08,459,327882,140.0,5.0,2014,1
2015,Colorado,08,424,335092,126.5,3.7,2014,1
2016,Colorado,08,442,341390,129.5,3.1,2014,1
2017,Colorado,08,408,344808,118.3,2.6,2014,1
2018,Colorado,08,422,346525,121.8,3.0,2014,1
2019,Colorado,08,403,347948,115.8,2.7,2014,1
1999,Connecticut,09,363,145109,250.2,2.5,2014,0
2000,Connecticut,09,345,148030,233.1,2.1,2014,0
2001,Connecticut,09,319,153381,208.0,2.9,2014,0
2002,Connecticut,09,339,163483,207.4,4.4,2014,0
2003,Connecticut,09,339,171089,198.1,5.4,2014,0
2004,Connecticut,09,302,177450,170.2,5.0,2014,0
2005,Connecticut,09,284,183726,154.6,4.9,2014,0
2006,Connecticut,09,287,189897,151.1,4.4,2014,0
2007,Connecticut,09,268,195718,136.9,4.5,2014,0
2008,Connecticut,09,284,200102,141.9,5.6,2014,0
2009,Connecticut,09,291,207419,140.3,8.3,2014,0
2010,Connecticut,09,290,213638,135.7,9.5,2014,0
2011,Connecticut,09,287,222464,129.0,9.0,2014,0
2012,Connecticut,09,292,225711,129.4,8.4,2014,0
2013,Connecticut,09,283,231003,122.5,7.9,2014,0
2014,Connecticut,09,270,235718,114.5,6.6,2014,1
2015,Connecticut,09,309,240641,128.4,5.6,2014,1
2016,Connecticut,09,322,244036,131.9,4.9,2014,1
2017,Connecticut,09,321,246821,130.1,4.4,2014,1
2018,Connecticut,09,340,247296,137.5,3.9,2014,1
2019,Connecticut,09,293,247875,118.2,3.6,2014,1
1999,Delaware,10,83,33230,249.8,3.2,2014,0
2000,Delaware,10,116,33990,341.3,3.4,2014,0
2001,Delaware,10,108,35324,305.7,3.5,2014,0
2002,Delaware,10,81,37963,213.4,4.1,2014,0
2003,Delaware,10,90,40029,224.8,4.3,2014,0
2004,Delaware,10,106,42007,252.3,4.0,2014,0
2005,Delaware,10,116,44059,263.3,4.1,2014,0
2006,Delaware,10,95,46169,205.8,3.6,2014,0
2007,Delaware,10,122,47550,256.6,3.4,2014,0
2008,Delaware,10,104,49190,211.4,4.8,2014,0
2009,Delaware,10,99,50433,196.3,8.2,2014,0
2010,Delaware,10,94,52063,180.6,8.3,2014,0
2011,Delaware,10,114,54717,208.3,7.4,2014,0
2012,Delaware,10,78,55243,141.2,7.0,2014,0
2013,Delaware,10,119,56665,210.0,6.5,2014,0
2014,Delaware,10,99,58183,170.2,5.6,2014,1
2015,Delaware,10,108,59904,180.3,4.8,2014,1
2016,Delaware,10,106,61089,173.5,4.5,2014,1
2017,Delaware,10,93,62435,149.0,4.4,2014,1
2018,Delaware,10,75,63601,117.9,3.7,2014,1
2019,Delaware,10,91,64598,140.9,3.6,2014,1
1999,District of Columbia,11,53,22242,238.3,6.5,2014,0
2000,District of Columbia,11,69,22727,303.6,5.7,2014,0
2001,District of Columbia,11,87,23313,373.2,6.3,2014,0
2002,District of Columbia,11,90,24507,367.2,6.6,2014,0
2003,District of Columbia,11,89,25100,354.6,6.8,2014,0
2004,District of Columbia,11,82,25756,318.4,7.5,2014,0
2005,District of Columbia,11,89,26523,335.6,6.5,2014,0
2006,District of Columbia,11,88,27333,322.0,5.8,2014,0
2007,District of Columbia,11,95,27694,343.0,5.5,2014,0
2008,District of Columbia,11,95,28213,336.7,6.5,2014,0
2009,District of Columbia,11,62,28822,215.1,9.6,2014,0
2010,District of Columbia,11,93,29392,316.4,9.8,2014,0
2011,District of Columbia,11,70,30713,227.9,10.1,2014,0
2012,District of Columbia,11,80,31012,258.0,8.9,2014,0
2013,District of Columbia,11,77,31822,242.0,8.4,2014,0
2014,District of Columbia,11,94,32225,291.7,7.7,2014,1
2015,District of Columbia,11,68,32755,207.6,6.9,2014,1
2016,District of Columbia,11,74,33129,223.4,6.2,2014,1
2017,District of Columbia,11,66,33144,199.1,6.1,2014,1
2018,District of Columbia,11,103,33464,307.8,5.7,2014,1
2019,District of Columbia,11,83,33520,247.6,5.5,2014,1
1999,Florida,12,2167,708839,305.7,3.9,3000,0
2000,Florida,12,2095,732704,285.9,3.7,3000,0
2001,Florida,12,2152,766856,280.6,4.7,3000,0
2002,Florida,12,2194,818394,268.1,5.6,3000,0
2003,Florida,12,2176,862008,252.4,5.3,3000,0
2004,Florida,12,2244,908588,247.0,4.6,3000,0
2005,Florida,12,2162,956321,226.1,3.7,3000,0
2006,Florida,12,2147,995923,215.6,3.3,3000,0
2007,Florida,12,2009,1026194,195.8,4.0,3000,0
2008,Florida,12,2083,1047537,198.8,6.3,3000,0
2009,Florida,12,2090,1073456,194.7,10.2,3000,0
2010,Florida,12,2118,1102877,192.0,11.3,3000,0
2011,Florida,12,2042,1148847,177.7,10.2,3000,0
2012,Florida,12,2134,1161317,183.8,8.7,3000,0
2013,Florida,12,2101,1182200,177.7,7.5,3000,0
