year,state,state_code,deaths,population,crude_rate,unemployment_rate,poverty_rate,cigarette_tax_per_pack,expansion_year,treat_post
1999,Alabama,01,10978.0,2291448.0,479.0857134877161,4.7,15.3,0.165,3000,0
2000,Alabama,01,11065.0,2304268.0,480.1958799931258,4.7,14.6,0.165,3000,0
2001,Alabama,01,11318.0,2315431.0,488.8074833583899,5.1,15.7,0.165,3000,0
2002,Alabama,01,11589.0,2327237.0,497.972488405779,5.9,15.4,0.165,3000,0
2003,Alabama,01,12116.0,2343487.0,517.0073484512609,5.9,15.3,0.165,3000,0
2004,Alabama,01,12266.0,2365307.0,518.5796177832307,5.6,16.1,0.425,3000,0
2005,Alabama,01,12735.0,2392304.0,532.3320113162875,4.5,16.9,0.425,3000,0
2006,Alabama,01,13034.0,2429989.0,536.3810288853159,4.0,16.6,0.425,3000,0
2007,Alabama,01,12917.0,2455478.0,526.0482887649574,4.1,16.6,0.425,3000,0
2008,Alabama,01,13328.0,2475904.0,538.3084319909011,5.9,15.9,0.425,3000,0
2009,Alabama,01,13421.0,2497821.0,537.3083179299077,9.7,17.5,0.425,3000,0
2010,Alabama,01,13423.0,2510310.0,534.7148360162689,10.4,18.9,0.425,3000,0
2011,Alabama,01,13770.0,2518131.0,546.8341400824659,9.6,19.1,0.425,3000,0
2012,Alabama,01,13879.0,2513296.0,552.2230568942139,8.2,19.0,0.425,3000,0
2013,Alabama,01,14086.0,2515357.0,560.0000318046306,7.4,18.9,0.425,3000,0
2014,Alabama,01,14091.0,2518038.0,559.6023570732451,6.8,19.2,0.425,3000,0
2015,Alabama,01,14487.0,2522661.0,574.2745458069871,6.1,18.5,0.425,3000,0
2016,Alabama,01,14652.0,2522310.0,580.8960833521653,5.8,17.2,0.675,3000,0
2017,Alabama,01,14663.0,2519274.0,582.0327602317176,4.5,16.9,0.675,3000,0
2018,Alabama,01,14660.0,2518479.0,582.0973690866591,3.9,16.8,0.675,3000,0
2019,Alabama,01,14342.0,2514818.0,570.2997195025644,3.2,15.6,0.675,3000,0
1999,Alaska,02,1069.0,342358.0,312.2462451585767,6.4,8.8,1.0,2015,0
2000,Alaska,02,1104.0,343224.0,321.65582826375777,6.3,8.5,1.0,2015,0
2001,Alaska,02,1189.0,345754.0,343.8861155619313,6.3,8.7,1.0,2015,0
2002,Alaska,02,1307.0,349700.0,373.7489276522734,7.2,9.3,1.0,2015,0
2003,Alaska,02,1209.0,352909.0,342.58123198898295,7.7,9.8,1.0,2015,0
2004,Alaska,02,1208.0,358921.0,336.5643135954709,7.4,10.0,1.0,2015,0
2005,Alaska,02,1266.0,364106.0,347.70094423052626,6.9,10.8,1.6,2015,0
2006,Alaska,02,1277.0,369753.0,345.3656900687756,6.6,10.9,1.6,2015,0
2007,Alaska,02,1377.0,373967.0,368.2143076795546,6.2,9.8,1.8,2015,0
2008,Alaska,02,1368.0,378803.0,361.13758338767116,6.5,9.2,2.0,2015,0
2009,Alaska,02,1398.0,386416.0,361.78626143844974,7.8,9.1,2.0,2015,0
2010,Alaska,02,1425.0,393034.0,362.5640529826936,8.0,11.0,2.0,2015,0
2011,Alaska,02,1530.0,399328.0,383.14368138472634,7.6,10.8,2.0,2015,0
2012,Alaska,02,1538.0,402185.0,382.4110794783495,7.1,10.8,2.0,2015,0
2013,Alaska,02,1576.0,398584.0,395.3997149910684,6.9,10.1,2.0,2015,0
2014,Alaska,02,1585.0,399009.0,397.23414760068067,6.7,11.4,2.0,2015,0
2015,Alaska,02,1615.0,398706.0,405.0603702979137,6.3,10.4,2.0,2015,1
2016,Alaska,02,1671.0,402087.0,415.5817024673765,6.6,9.9,2.0,2015,1
2017,Alaska,02,1617.0,400078.0,404.1711866186094,6.6,11.0,2.0,2015,1
2018,Alaska,02,1566.0,396234.0,395.22100576931814,6.1,11.1,2.0,2015,1
2019,Alaska,02,1573.0,391822.0,401.45780481953545,5.6,10.2,2.0,2015,1
1999,Arizona,04,9320.0,2532488.0,368.0175384838941,4.5,12.8,0.58,2014,0
2000,Arizona,04,9442.0,2581745.0,365.72163401110487,4.0,12.5,0.58,2014,0
2001,Arizona,04,9723.0,2655211.0,366.1855875107477,4.7,13.2,0.58,2014,0
2002,Arizona,04,10298.0,2722788.0,378.21527052418327,6.2,13.6,0.58,2014,0
2003,Arizona,04,10531.0,2785150.0,378.1124894529917,5.8,13.9,1.18,2014,0
2004,Arizona,04,10632.0,2866130.0,370.9531668137872,5.0,14.6,1.18,2014,0
2005,Arizona,04,11393.0,2973036.0,383.21096683659397,4.6,14.4,1.18,2014,0
2006,Arizona,04,11716.0,3082024.0,380.13980423254327,4.3,14.2,1.18,2014,0
2007,Arizona,04,11592.0,3150959.0,367.8879985426659,3.7,14.1,2.0,2014,0
2008,Arizona,04,11579.0,3198096.0,362.0591752092495,5.8,14.7,2.0,2014,0
2009,Arizona,04,11745.0,3225927.0,364.0813942782958,9.7,16.5,2.0,2014,0
2010,Arizona,04,11884.0,3247961.0,365.8910929041328,10.4,17.6,2.0,2014,0
2011,Arizona,04,12107.0,3291051.0,367.87640179383425,9.5,19.0,2.0,2014,0
2012,Arizona,04,12470.0,3307877.0,376.9789505474357,8.4,18.7,2.0,2014,0
2013,Arizona,04,12772.0,3324670.0,384.1584277537319,7.8,18.6,2.0,2014,0
2014,Arizona,04,12797.0,3367755.0,379.98607380881333,6.8,18.2,2.0,2014,1
2015,Arizona,04,13348.0,3412727.0,391.1241655133856,6.1,17.4,2.0,2014,1
2016,Arizona,04,13885.0,3456387.0,401.7200620185182,5.5,16.4,2.0,2014,1
2017,Arizona,04,13808.0,3508591.0,393.54829331774494,5.0,14.9,2.0,2014,1
2018,Arizona,04,14108.0,3583343.0,393.7105658040551,4.8,14.1,2.0,2014,1
2019,Arizona,04,14290.0,3636004.0,393.01386907165113,4.8,13.5,2.0,2014,1
1999,Arkansas,05,6104.0,1337237.0,456.4635887281013,4.5,15.1,0.315,2014,0
2000,Arkansas,05,6399.0,1357274.0,471.4597052621652,4.2,15.0,0.315,2014,0
2001,Arkansas,05,6453.0,1369275.0,471.27129320260724,4.8,15.9,0.315,2014,0
2002,Arkansas,05,6820.0,1379655.0,494.32648017076735,5.3,16.3,0.34,2014,0
2003,Arkansas,05,6887.0,1392384.0,494.61930042287185,5.8,16.0,0.59,2014,0
2004,Arkansas,05,7096.0,1410611.0,503.04442542983145,5.6,15.6,0.59,2014,0
2005,Arkansas,05,7193.0,1432196.0,502.2357275121562,5.3,17.2,0.59,2014,0
2006,Arkansas,05,7401.0,1457486.0,507.79218462475797,5.2,17.3,0.59,2014,0
2007,Arkansas,05,7451.0,1471771.0,506.2608245440357,5.4,17.6,0.59,2014,0
2008,Arkansas,05,7848.0,1482428.0,529.4017652122059,5.4,17.3,0.59,2014,0
2009,Arkansas,05,7776.0,1492421.0,521.0326040708352,7.7,18.5,1.15,2014,0
2010,Arkansas,05,7652.0,1500357.0,510.0119504891169,7.8,18.7,1.15,2014,0
2011,Arkansas,05,7948.0,1512776.0,525.3917301702301,7.9,19.3,1.15,2014,0
2012,Arkansas,05,8007.0,1508968.0,530.6275547261439,7.2,19.6,1.15,2014,0
2013,Arkansas,05,8032.0,1506764.0,533.0629083253914,7.0,19.4,1.15,2014,0
2014,Arkansas,05,8219.0,1506595.0,545.5347986685208,5.9,18.7,1.15,2014,1
2015,Arkansas,05,8358.0,1511614.0,552.9189330080299,5.0,18.7,1.15,2014,1
2016,Arkansas,05,8504.0,1514723.0,561.4227815910896,4.0,17.2,1.15,2014,1
2017,Arkansas,05,8560.0,1518247.0,563.8081287168689,3.7,16.3,1.15,2014,1
2018,Arkansas,05,8317.0,1518240.0,547.8053535672884,3.6,16.8,1.15,2014,1
2019,Arkansas,05,8303.0,1514707.0,548.1588188342696,3.5,16.0,1.15,2014,1
1999,California,06,52296.0,17473086.0,299.2945836814401,5.3,13.7,0.87,2014,0
2000,California,06,52829.0,17660131.0,299.1427413533909,4.9,12.7,0.87,2014,0
2001,California,06,54777.0,18013413.0,304.09006888367014,5.5,12.9,0.87,2014,0
2002,California,06,55515.0,18257406.0,304.06838737113037,6.7,13.3,0.87,2014,0
2003,California,06,57694.0,18495001.0,311.94375171972143,6.9,13.7,0.87,2014,0
2004,California,06,57127.0,18710704.0,305.31721307760523,6.2,13.2,0.87,2014,0
2005,California,06,58552.0,18898720.0,309.81992431233436,5.4,13.3,0.87,2014,0
2006,California,06,59019.0,19076858.0,309.37484568999776,4.9,13.1,0.87,2014,0
2007,California,06,58946.0,19225304.0,306.6063350675755,5.3,12.4,0.87,2014,0
2008,California,06,58225.0,19413377.0,299.9220588978414,7.3,13.3,0.87,2014,0
2009,California,06,58979.0,19619890.0,300.6082093222745,11.5,14.2,0.87,2014,0
2010,California,06,57367.0,19789451.0,289.88676846063083,12.3,15.8,0.87,2014,0
2011,California,06,59011.0,20046532.0,294.370118482339,11.7,16.6,0.87,2014,0
2012,California,06,59423.0,20179883.0,294.46652391393945,10.4,17.0,0.87,2014,0
2013,California,06,59715.0,20356297.0,293.3490310148255,9.0,16.8,0.87,2014,0
2014,California,06,60349.0,20661868.0,292.07910920735725,7.6,16.4,0.87,2014,1
2015,California,06,61719.0,20900046.0,295.3055701408504,6.2,15.4,0.87,2014,1
2016,California,06,62779.0,20961732.0,299.49338155835596,5.5,14.4,0.87,2014,1
