year,state,state_code,deaths,population,crude_rate,unemployment_rate,poverty_rate,cigarette_tax_per_pack,expansion_year,treat_post
1999,Alabama,01,874.0,410542.0,212.88930243434288,4.7,15.3,0.165,3000,0
2000,Alabama,01,861.0,415532.0,207.2042586371206,4.7,14.6,0.165,3000,0
2001,Alabama,01,834.0,425024.0,196.22421322090045,5.1,15.7,0.165,3000,0
2002,Alabama,01,850.0,447523.0,189.9343720881385,5.9,15.4,0.165,3000,0
2003,Alabama,01,785.0,465670.0,168.5743122812292,5.9,15.3,0.165,3000,0
2004,Alabama,01,762.0,485363.0,156.9958979155807,5.6,16.1,0.425,3000,0
2005,Alabama,01,815.0,504487.0,161.55024807378584,4.5,16.9,0.425,3000,0
2006,Alabama,01,793.0,524312.0,151.24582309769755,4.0,16.6,0.425,3000,0
2007,Alabama,01,818.0,542075.0,150.90162800350504,4.1,16.6,0.425,3000,0
2008,Alabama,01,789.0,556340.0,141.81975051227667,5.9,15.9,0.425,3000,0
2009,Alabama,01,856.0,572887.0,149.4186462600827,9.7,17.5,0.425,3000,0
2010,Alabama,01,807.0,588033.0,137.23719587166028,10.4,18.9,0.425,3000,0
2011,Alabama,01,904.0,610224.0,148.1423215081675,9.6,19.1,0.425,3000,0
2012,Alabama,01,801.0,615408.0,130.15755401294751,8.2,19.0,0.425,3000,0
2013,Alabama,01,826.0,622799.0,132.62705945256815,7.4,18.9,0.425,3000,0
2014,Alabama,01,826.0,629476.0,131.2202530358584,6.8,19.2,0.425,3000,0
2015,Alabama,01,832.0,637997.0,130.4081367153764,6.1,18.5,0.425,3000,0
2016,Alabama,01,837.0,645092.0,129.74893503562282,5.8,17.2,0.675,3000,0
2017,Alabama,01,854.0,650545.0,131.2745467262065,4.5,16.9,0.675,3000,0
2018,Alabama,01,871.0,655179.0,132.94076885858675,3.9,16.8,0.675,3000,0
2019,Alabama,01,785.0,657667.0,119.36131811387831,3.2,15.6,0.675,3000,0
1999,Alaska,02,63.0,43341.0,145.35889804111582,6.4,8.8,1.0,2015,0
2000,Alaska,02,70.0,44750.0,156.4245810055866,6.3,8.5,1.0,2015,0
2001,Alaska,02,58.0,47643.0,121.73876540100329,6.3,8.7,1.0,2015,0
2002,Alaska,02,85.0,52428.0,162.1271076523995,7.2,9.3,1.0,2015,0
2003,Alaska,02,64.0,56268.0,113.74138053600626,7.7,9.8,1.0,2015,0
2004,Alaska,02,73.0,60988.0,119.69567783826325,7.4,10.0,1.0,2015,0
2005,Alaska,02,82.0,65507.0,125.17746195063124,6.9,10.8,1.6,2015,0
2006,Alaska,02,56.0,69753.0,80.28328530672516,6.6,10.9,1.6,2015,0
2007,Alaska,02,71.0,73679.0,96.36395716554243,6.2,9.8,1.8,2015,0
2008,Alaska,02,68.0,77967.0,87.2163864198956,6.5,9.2,2.0,2015,0
2009,Alaska,02,96.0,83075.0,115.55823051459524,7.8,9.1,2.0,2015,0
2010,Alaska,02,98.0,85909.0,114.07419478750771,8.0,11.0,2.0,2015,0
2011,Alaska,02,126.0,90885.0,138.63673873576496,7.6,10.8,2.0,2015,0
2012,Alaska,02,89.0,92816.0,95.8886398896742,7.1,10.8,2.0,2015,0
2013,Alaska,02,86.0,92820.0,92.65244559362206,6.9,10.1,2.0,2015,0
2014,Alaska,02,110.0,93050.0,118.21601289629233,6.7,11.4,2.0,2015,0
2015,Alaska,02,117.0,93624.0,124.96795693411944,6.3,10.4,2.0,2015,1
2016,Alaska,02,126.0,95322.0,132.18354629571348,6.6,9.9,2.0,2015,1
2017,Alaska,02,104.0,95366.0,109.05354109431035,6.6,11.0,2.0,2015,1
