year,state,state_code,deaths,population,crude_rate,unemployment_rate,poverty_rate,cigarette_tax_per_pack,expansion_year,treat_post
1999,Alabama,01,958.0,478379.0,200.25962678127595,4.7,15.3,0.165,3000,0
2000,Alabama,01,956.0,488458.0,195.7179532324171,4.7,14.6,0.165,3000,0
2001,Alabama,01,947.0,504869.0,187.5734101321333,5.1,15.7,0.165,3000,0
2002,Alabama,01,939.0,519029.0,180.9147465748542,5.9,15.4,0.165,3000,0
2003,Alabama,01,893.0,532843.0,167.59157950841055,5.9,15.3,0.165,3000,0
2004,Alabama,01,867.0,546430.0,158.66625185293634,5.6,16.1,0.425,3000,0
2005,Alabama,01,868.0,561373.0,154.62090267968,4.5,16.9,0.425,3000,0
2006,Alabama,01,916.0,576970.0,158.7604208191067,4.0,16.6,0.425,3000,0
2007,Alabama,01,897.0,590024.0,152.02771412688298,4.1,16.6,0.425,3000,0
2008,Alabama,01,884.0,600629.0,147.17904063906337,5.9,15.9,0.425,3000,0
2009,Alabama,01,956.0,611247.0,156.40158561105412,9.7,17.5,0.425,3000,0
2010,Alabama,01,887.0,619064.0,143.28082395358152,10.4,18.9,0.425,3000,0
2011,Alabama,01,971.0,624610.0,155.45700517122685,9.6,19.1,0.425,3000,0
2012,Alabama,01,864.0,621183.0,139.08944707115293,8.2,19.0,0.425,3000,0
2013,Alabama,01,878.0,620025.0,141.60719325833634,7.4,18.9,0.425,3000,0
2014,Alabama,01,846.0,619182.0,136.631878833687,6.8,19.2,0.425,3000,0
2015,Alabama,01,883.0,619398.0,142.55777383846896,6.1,18.5,0.425,3000,0
2016,Alabama,01,815.0,620311.0,131.38570813672496,5.8,17.2,0.675,3000,0
2017,Alabama,01,904.0,618899.0,146.06583626730693,4.5,16.9,0.675,3000,0
2018,Alabama,01,872.0,615910.0,141.57912682047703,3.9,16.8,0.675,3000,0
2019,Alabama,01,765.0,611582.0,125.08543416908935,3.2,15.6,0.675,3000,0
1999,Alaska,02,83.0,72004.0,115.27137381256597,6.4,8.8,1.0,2015,0
2000,Alaska,02,94.0,74167.0,126.74100341122062,6.3,8.5,1.0,2015,0
2001,Alaska,02,88.0,78258.0,112.44856755858825,6.3,8.7,1.0,2015,0
2002,Alaska,02,120.0,82185.0,146.0120459937945,7.2,9.3,1.0,2015,0
2003,Alaska,02,84.0,85617.0,98.11135638950208,7.7,9.8,1.0,2015,0
