Notes,Year,Year Code,State,State Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate
,1999,1999,Alabama,01,45-54 years,45-54,3157,585651,539.1
,1999,1999,Alabama,01,55-64 years,55-64,5041,410542,1227.9
,1999,1999,Alaska,02,45-54 years,45-54,310,92120,336.5
,1999,1999,Alaska,02,55-64 years,55-64,393,43341,906.8
,1999,1999,Arizona,04,45-54 years,45-54,2660,604767,439.8
,1999,1999,Arizona,04,55-64 years,55-64,4121,427747,963.4
,1999,1999,Arkansas,05,45-54 years,45-54,1734,340043,509.9
,1999,1999,Arkansas,05,55-64 years,55-64,2931,251017,1167.6
,1999,1999,California,06,45-54 years,45-54,16051,4189310,383.1
,1999,1999,California,06,55-64 years,55-64,22661,2543047,891.1
,1999,1999,Colorado,08,45-54 years,45-54,1900,593059,320.4
,1999,1999,Colorado,08,55-64 years,55-64,2662,329046,809.0
,1999,1999,Connecticut,09,45-54 years,45-54,1642,469320,349.9
,1999,1999,Connecticut,09,55-64 years,55-64,2552,302459,843.8
,1999,1999,Delaware,10,45-54 years,45-54,426,100828,422.5
,1999,1999,Delaware,10,55-64 years,55-64,674,69886,964.4
,1999,1999,District of Columbia,11,45-54 years,45-54,646,73239,882.0
,1999,1999,District of Columbia,11,55-64 years,55-64,717,48709,1472.0
,1999,1999,Florida,12,45-54 years,45-54,9178,1991942,460.8
,1999,1999,Florida,12,55-64 years,55-64,14894,1509450,986.7
,1999,1999,Georgia,13,45-54 years,45-54,5107,1046564,488.0
,1999,1999,Georgia,13,55-64 years,55-64,7609,642834,1183.7
,1999,1999,Hawaii,15,45-54 years,45-54,578,167257,345.6
,1999,1999,Hawaii,15,55-64 years,55-64,854,103642,824.0
,1999,1999,Idaho,16,45-54 years,45-54,543,164613,329.9
,1999,1999,Idaho,16,55-64 years,55-64,873,104652,834.2
,1999,1999,Illinois,17,45-54 years,45-54,6687,1584101,422.1
,1999,1999,Illinois,17,55-64 years,55-64,10728,1029288,1042.3
,1999,1999,Indiana,18,45-54 years,45-54,3386,795740,425.5
,1999,1999,Indiana,18,55-64 years,55-64,5546,522962,1060.5
,1999,1999,Iowa,19,45-54 years,45-54,1213,382540,317.1
,1999,1999,Iowa,19,55-64 years,55-64,2231,255776,872.2
,1999,1999,Kansas,20,45-54 years,45-54,1294,344157,376.0
,1999,1999,Kansas,20,55-64 years,55-64,2179,217720,1000.8
,1999,1999,Kentucky,21,45-54 years,45-54,2556,541439,472.1
,1999,1999,Kentucky,21,55-64 years,55-64,4497,365988,1228.7
,1999,1999,Louisiana,22,45-54 years,45-54,3161,570443,554.1
,1999,1999,Louisiana,22,55-64 years,55-64,4677,373236,1253.1
,1999,1999,Maine,23,45-54 years,45-54,633,186351,339.7
,1999,1999,Maine,23,55-64 years,55-64,1117,119812,932.3
,1999,1999,Maryland,24,45-54 years,45-54,3179,734690,432.7
,1999,1999,Maryland,24,55-64 years,55-64,4529,458782,987.2
,1999,1999,Massachusetts,25,45-54 years,45-54,2874,849890,338.2
,1999,1999,Massachusetts,25,55-64 years,55-64,4565,534483,854.1
,1999,1999,Michigan,26,45-54 years,45-54,5904,1330187,443.8
,1999,1999,Michigan,26,55-64 years,55-64,8839,849844,1040.1
,1999,1999,Minnesota,27,45-54 years,45-54,1926,643345,299.4
,1999,1999,Minnesota,27,55-64 years,55-64,3184,395829,804.4
,1999,1999,Mississippi,28,45-54 years,45-54,2057,351029,586.0
,1999,1999,Mississippi,28,55-64 years,55-64,3284,242369,1355.0
,1999,1999,Missouri,29,45-54 years,45-54,3189,721187,442.2
,1999,1999,Missouri,29,55-64 years,55-64,5431,499269,1087.8
,1999,1999,Montana,30,45-54 years,45-54,470,131005,358.8
