Notes,Year,Year Code,State,State Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate
,1999,1999,Alabama,01,55-64 years,55-64,874,410542,212.9
,1999,1999,Alaska,02,55-64 years,55-64,63,43341,145.4
,1999,1999,Arizona,04,55-64 years,55-64,832,427747,194.5
,1999,1999,Arkansas,05,55-64 years,55-64,548,251017,218.3
,1999,1999,California,06,55-64 years,55-64,4641,2543047,182.5
,1999,1999,Colorado,08,55-64 years,55-64,478,329046,145.3
,1999,1999,Connecticut,09,55-64 years,55-64,506,302459,167.3
,1999,1999,Delaware,10,55-64 years,55-64,130,69886,186.0
,1999,1999,District of Columbia,11,55-64 years,55-64,93,48709,190.9
,1999,1999,Florida,12,55-64 years,55-64,3008,1509450,199.3
,1999,1999,Georgia,13,55-64 years,55-64,1399,642834,217.6
,1999,1999,Hawaii,15,55-64 years,55-64,178,103642,171.7
,1999,1999,Idaho,16,55-64 years,55-64,170,104652,162.4
,1999,1999,Illinois,17,55-64 years,55-64,2274,1029288,220.9
,1999,1999,Indiana,18,55-64 years,55-64,1146,522962,219.1
,1999,1999,Iowa,19,55-64 years,55-64,475,255776,185.7
,1999,1999,Kansas,20,55-64 years,55-64,401,217720,184.2
,1999,1999,Kentucky,21,55-64 years,55-64,921,365988,251.6
,1999,1999,Louisiana,22,55-64 years,55-64,943,373236,252.7
,1999,1999,Maine,23,55-64 years,55-64,193,119812,161.1
,1999,1999,Maryland,24,55-64 years,55-64,927,458782,202.1
,1999,1999,Massachusetts,25,55-64 years,55-64,824,534483,154.2
,1999,1999,Michigan,26,55-64 years,55-64,2051,849844,241.3
,1999,1999,Minnesota,27,55-64 years,55-64,501,395829,126.6
,1999,1999,Mississippi,28,55-64 years,55-64,697,242369,287.6
,1999,1999,Missouri,29,55-64 years,55-64,1155,499269,231.3
,1999,1999,Montana,30,55-64 years,55-64,112,83236,134.6
,1999,1999,Nebraska,31,55-64 years,55-64,202,140276,144.0
,1999,1999,Nevada,32,55-64 years,55-64,408,181820,224.4
,1999,1999,New Hampshire,33,55-64 years,55-64,204,105806,192.8
,1999,1999,New Jersey,34,55-64 years,55-64,1261,741079,170.2
,1999,1999,New Mexico,35,55-64 years,55-64,260,155004,167.7
,1999,1999,New York,36,55-64 years,55-64,3679,1665039,221.0
