Notes,Year,Year Code,State,State Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Sex,Sex Code,Deaths,Population,Crude Rate
,1999,1999,Alabama,01,35-44 years,35-44,Male,M,130,335631,38.7
,1999,1999,Alabama,01,45-54 years,45-54,Male,M,355,284323,124.9
,1999,1999,Alabama,01,55-64 years,55-64,Male,M,603,194056,310.7
,1999,1999,Alaska,02,35-44 years,35-44,Male,M,10,60064,
,1999,1999,Alaska,02,45-54 years,45-54,Male,M,37,48831,75.8
,1999,1999,Alaska,02,55-64 years,55-64,Male,M,46,23173,198.5
,1999,1999,Arizona,04,35-44 years,35-44,Male,M,86,384610,22.4
,1999,1999,Arizona,04,45-54 years,45-54,Male,M,308,296226,104.0
,1999,1999,Arizona,04,55-64 years,55-64,Male,M,589,203442,289.5
,1999,1999,Arkansas,05,35-44 years,35-44,Male,M,84,195273,43.0
,1999,1999,Arkansas,05,45-54 years,45-54,Male,M,222,166308,133.5
,1999,1999,Arkansas,05,55-64 years,55-64,Male,M,388,119881,323.7
,1999,1999,California,06,35-44 years,35-44,Male,M,493,2760947,17.9
,1999,1999,California,06,45-54 years,45-54,Male,M,1837,2064379,89.0
,1999,1999,California,06,55-64 years,55-64,Male,M,3222,1223139,263.4
,1999,1999,Colorado,08,35-44 years,35-44,Male,M,70,373273,18.8
,1999,1999,Colorado,08,45-54 years,45-54,Male,M,197,297388,66.2
,1999,1999,Colorado,08,55-64 years,55-64,Male,M,364,161800,225.0
,1999,1999,Connecticut,09,35-44 years,35-44,Male,M,53,284561,18.6
,1999,1999,Connecticut,09,45-54 years,45-54,Male,M,195,228474,85.3
,1999,1999,Connecticut,09,55-64 years,55-64,Male,M,363,145109,250.2
,1999,1999,Delaware,10,35-44 years,35-44,Male,M,18,62330,
,1999,1999,Delaware,10,45-54 years,45-54,Male,M,48,48750,98.5
,1999,1999,Delaware,10,55-64 years,55-64,Male,M,83,33230,249.8
,1999,1999,District of Columbia,11,35-44 years,35-44,Male,M,,44096,
,1999,1999,District of Columbia,11,45-54 years,45-54,Male,M,50,34379,145.4
,1999,1999,District of Columbia,11,55-64 years,55-64,Male,M,53,22242,238.3
,1999,1999,Florida,12,35-44 years,35-44,Male,M,367,1223234,30.0
,1999,1999,Florida,12,45-54 years,45-54,Male,M,1052,966780,108.8
,1999,1999,Florida,12,55-64 years,55-64,Male,M,2167,708839,305.7
,1999,1999,Georgia,13,35-44 years,35-44,Male,M,202,660376,30.6
,1999,1999,Georgia,13,45-54 years,45-54,Male,M,580,508674,114.0
,1999,1999,Georgia,13,55-64 years,55-64,Male,M,966,308354,313.3
,1999,1999,Hawaii,15,35-44 years,35-44,Male,M,22,97666,22.5
,1999,1999,Hawaii,15,45-54 years,45-54,Male,M,71,83710,84.8
,1999,1999,Hawaii,15,55-64 years,55-64,Male,M,129,50424,255.8
,1999,1999,Idaho,16,35-44 years,35-44,Male,M,18,97386,
,1999,1999,Idaho,16,45-54 years,45-54,Male,M,65,82912,78.4
,1999,1999,Idaho,16,55-64 years,55-64,Male,M,126,52239,241.2
,1999,1999,Illinois,17,35-44 years,35-44,Male,M,257,986053,26.1
,1999,1999,Illinois,17,45-54 years,45-54,Male,M,907,775959,116.9
,1999,1999,Illinois,17,55-64 years,55-64,Male,M,1604,491627,326.3
,1999,1999,Indiana,18,35-44 years,35-44,Male,M,157,478858,32.8
,1999,1999,Indiana,18,45-54 years,45-54,Male,M,473,393302,120.3
,1999,1999,Indiana,18,55-64 years,55-64,Male,M,782,252551,309.6
,1999,1999,Iowa,19,35-44 years,35-44,Male,M,53,224360,23.6
,1999,1999,Iowa,19,45-54 years,45-54,Male,M,184,192057,95.8
,1999,1999,Iowa,19,55-64 years,55-64,Male,M,335,124230,269.7
,1999,1999,Kansas,20,35-44 years,35-44,Male,M,47,212272,22.1
,1999,1999,Kansas,20,45-54 years,45-54,Male,M,144,172334,83.6
,1999,1999,Kansas,20,55-64 years,55-64,Male,M,266,105733,251.6
,1999,1999,Kentucky,21,35-44 years,35-44,Male,M,113,316592,35.7
,1999,1999,Kentucky,21,45-54 years,45-54,Male,M,350,265956,131.6
,1999,1999,Kentucky,21,55-64 years,55-64,Male,M,641,175819,364.6
,1999,1999,Louisiana,22,35-44 years,35-44,Male,M,133,339382,39.2
,1999,1999,Louisiana,22,45-54 years,45-54,Male,M,403,277057,145.5
,1999,1999,Louisiana,22,55-64 years,55-64,Male,M,638,176452,361.6
,1999,1999,Maine,23,35-44 years,35-44,Male,M,28,104519,26.8
,1999,1999,Maine,23,45-54 years,45-54,Male,M,77,92618,83.1
,1999,1999,Maine,23,55-64 years,55-64,Male,M,137,58545,234.0
,1999,1999,Maryland,24,35-44 years,35-44,Male,M,95,441710,21.5
,1999,1999,Maryland,24,45-54 years,45-54,Male,M,341,352869,96.6
,1999,1999,Maryland,24,55-64 years,55-64,Male,M,664,219754,302.2
,1999,1999,Massachusetts,25,35-44 years,35-44,Male,M,125,519686,24.1
,1999,1999,Massachusetts,25,45-54 years,45-54,Male,M,314,412688,76.1
,1999,1999,Massachusetts,25,55-64 years,55-64,Male,M,596,254634,234.1
,1999,1999,Michigan,26,35-44 years,35-44,Male,M,270,796374,33.9
,1999,1999,Michigan,26,45-54 years,45-54,Male,M,791,656207,120.5
,1999,1999,Michigan,26,55-64 years,55-64,Male,M,1432,411898,347.7
,1999,1999,Minnesota,27,35-44 years,35-44,Male,M,86,414785,20.7
,1999,1999,Minnesota,27,45-54 years,45-54,Male,M,266,323007,82.4
,1999,1999,Minnesota,27,55-64 years,55-64,Male,M,372,194395,191.4
,1999,1999,Mississippi,28,35-44 years,35-44,Male,M,110,205967,53.4
,1999,1999,Mississippi,28,45-54 years,45-54,Male,M,276,170376,162.0
,1999,1999,Mississippi,28,55-64 years,55-64,Male,M,483,114647,421.3
,1999,1999,Missouri,29,35-44 years,35-44,Male,M,142,438657,32.4
,1999,1999,Missouri,29,45-54 years,45-54,Male,M,469,351662,133.4
,1999,1999,Missouri,29,55-64 years,55-64,Male,M,808,239259,337.7
,1999,1999,Montana,30,35-44 years,35-44,Male,M,14,71273,
,1999,1999,Montana,30,45-54 years,45-54,Male,M,56,66448,84.3
,1999,1999,Montana,30,55-64 years,55-64,Male,M,88,41804,210.5
,1999,1999,Nebraska,31,35-44 years,35-44,Male,M,33,133565,24.7
,1999,1999,Nebraska,31,45-54 years,45-54,Male,M,80,109357,73.2
,1999,1999,Nebraska,31,55-64 years,55-64,Male,M,147,68387,215.0
,1999,1999,Nevada,32,35-44 years,35-44,Male,M,35,164054,21.3
,1999,1999,Nevada,32,45-54 years,45-54,Male,M,167,129481,129.0
,1999,1999,Nevada,32,55-64 years,55-64,Male,M,297,91487,324.6
,1999,1999,New Hampshire,33,35-44 years,35-44,Male,M,25,109539,22.8
,1999,1999,New Hampshire,33,45-54 years,45-54,Male,M,66,88379,74.7
,1999,1999,New Hampshire,33,55-64 years,55-64,Male,M,145,52450,276.5
,1999,1999,New Jersey,34,35-44 years,35-44,Male,M,148,706034,21.0
,1999,1999,New Jersey,34,45-54 years,45-54,Male,M,511,547694,93.3
,1999,1999,New Jersey,34,55-64 years,55-64,Male,M,891,352541,252.7
,1999,1999,New Mexico,35,35-44 years,35-44,Male,M,22,139789,15.7
,1999,1999,New Mexico,35,45-54 years,45-54,Male,M,93,116461,79.9
,1999,1999,New Mexico,35,55-64 years,55-64,Male,M,196,74425,263.4
,1999,1999,New York,36,35-44 years,35-44,Male,M,318,1506475,21.1
,1999,1999,New York,36,45-54 years,45-54,Male,M,1245,1197851,103.9
,1999,1999,New York,36,55-64 years,55-64,Male,M,2477,775941,319.2
,1999,1999,North Carolina,37,35-44 years,35-44,Male,M,207,632761,32.7
,1999,1999,North Carolina,37,45-54 years,45-54,Male,M,652,513327,127.0
,1999,1999,North Carolina,37,55-64 years,55-64,Male,M,1118,337298,331.5
,1999,1999,North Dakota,38,35-44 years,35-44,Male,M,15,50353,
,1999,1999,North Dakota,38,45-54 years,45-54,Male,M,43,42487,101.2
